iter	Logloss
0	0.6884770763
1	0.6839071663
2	0.6783747735
3	0.6732124699
4	0.6682412168
5	0.6636235018
6	0.6588763927
7	0.6543063465
8	0.6496796698
9	0.6452144171
10	0.6407034601
11	0.6364864466
12	0.6323100245
13	0.6282763678
14	0.6242157995
15	0.6205427979
16	0.6169527639
17	0.6132179765
18	0.6093960512
19	0.6057780642
20	0.6023327866
21	0.5988117045
22	0.5955164945
23	0.5924702002
24	0.5894662041
25	0.5863218447
26	0.5833247374
27	0.5803637337
28	0.5773109289
29	0.5745537437
30	0.5718343364
31	0.5695786594
32	0.566828346
33	0.5643582698
34	0.5618150662
35	0.5592710287
36	0.5567047658
37	0.55435737
38	0.5520446858
39	0.5498081999
40	0.5474690882
41	0.5453131388
42	0.5432240393
43	0.5410903281
44	0.5391636364
45	0.5370034855
46	0.5350319228
47	0.5331717598
48	0.5313197264
49	0.5293867053
50	0.5275052487
51	0.525799837
52	0.5240608991
53	0.5223578247
54	0.5206972796
55	0.5191065472
56	0.5175574605
57	0.516336854
58	0.5150067045
59	0.5134951383
60	0.5119943409
61	0.5105295937
62	0.5092272582
63	0.5081647209
64	0.5067964884
65	0.5055232154
66	0.5042415378
67	0.5030390805
68	0.5016902265
69	0.5003998185
70	0.4991423629
71	0.4980632386
72	0.49696193
73	0.4957634102
74	0.4946359223
75	0.4935648857
76	0.4925045062
77	0.4914868832
78	0.4905051135
79	0.4894778681
80	0.4886858381
81	0.4876413502
82	0.4866637184
83	0.4856797074
84	0.4846586342
85	0.4837055152
86	0.4828400229
87	0.4821246447
88	0.4813279786
89	0.4805411043
90	0.4797491515
91	0.4790284724
92	0.4782144305
93	0.4774208685
94	0.4766553988
95	0.4759694357
96	0.4752083517
97	0.4744586763
98	0.4737741453
99	0.4730820297
100	0.4723775386
101	0.4716952804
102	0.4709727063
103	0.4702973954
104	0.4696392154
105	0.4691234012
106	0.468529298
107	0.4679517027
108	0.4673722412
109	0.466924873
110	0.4664822405
111	0.4658906334
112	0.4653921273
113	0.4648329417
114	0.4642889286
115	0.4637439526
116	0.4633013876
117	0.462776296
118	0.4622971604
119	0.4618232448
120	0.4613824168
121	0.4608977107
122	0.4605258509
123	0.4600540509
124	0.4596332088
125	0.4591956951
126	0.4587751197
127	0.4583866489
128	0.4580300667
129	0.457603245
130	0.4571779797
131	0.4567489181
132	0.4563314156
133	0.455936855
134	0.4555615828
135	0.4551886733
136	0.4548553224
137	0.4544742014
138	0.45412621
139	0.4537770456
140	0.45341551
141	0.453120859
142	0.4527646156
143	0.4524498137
144	0.4521383175
145	0.451818729
146	0.4515019137
147	0.4512225546
148	0.4509037655
149	0.4505940649
150	0.4503213883
151	0.45002552
152	0.4497469659
153	0.4494903188
154	0.4492366993
155	0.4489460408
156	0.4487054879
157	0.4484835509
158	0.448203325
159	0.447951388
160	0.4477018623
161	0.4474524797
162	0.447184389
163	0.4469795241
164	0.4467445032
165	0.4465087904
166	0.4462817734
167	0.4460704118
168	0.4458699009
169	0.4456223622
170	0.4454255159
171	0.445219857
172	0.445027215
173	0.4448161087
174	0.4446311051
175	0.4444007257
176	0.4442022041
177	0.4440003736
178	0.4438078681
179	0.4436314323
180	0.4434600192
181	0.4432456208
182	0.4430454046
183	0.4428714472
184	0.4426953215
185	0.4424969503
186	0.4423177387
187	0.4421183931
188	0.4419402934
189	0.4417586931
190	0.441562742
191	0.4413823342
192	0.4412319788
193	0.4410715141
194	0.4409285079
195	0.4407783606
196	0.4405860279
197	0.4404034297
198	0.4402611891
199	0.4401024837
200	0.4399597163
201	0.4398179859
202	0.4396604967
203	0.4395276058
204	0.4393692456
205	0.4392176609
206	0.4390835077
207	0.4389567411
208	0.4388505823
209	0.4387747548
210	0.4386532199
211	0.4385674858
212	0.43842538
213	0.4383087228
214	0.4382016613
215	0.4380690191
216	0.4379631617
217	0.4378566783
218	0.4377358203
219	0.4376069035
220	0.4375005866
221	0.4373725102
222	0.4372628161
223	0.4371488092
224	0.4370321651
225	0.4369090581
226	0.4367895847
227	0.4366928621
228	0.4365874279
229	0.4365094134
230	0.436409407
231	0.4362994616
232	0.436188163
233	0.4360765557
234	0.4359687783
235	0.4358801883
236	0.4357815907
237	0.4356838252
238	0.4355802791
239	0.4354940414
240	0.4354077281
241	0.4353046787
242	0.4352174862
243	0.4351159694
244	0.4350115819
245	0.4349041171
246	0.4348178508
247	0.4347325752
